,Event,Year,Gender,Position,Medal,Athlete,NOC,Time,Distance
681,"5,000 metres",1964,M,1,Gold,Bob Schul,USA,828.8,NaN
682,"5,000 metres",1964,M,2,Silver,Harald Norpoth,GER,829.6,NaN
683,"5,000 metres",1964,M,3,Bronze,Bill Dellinger,USA,829.8,NaN
684,"10,000 metres",1964,M,1,Gold,Billy Mills,USA,NaN,NaN
685,"10,000 metres",1964,M,2,Silver,Mohamad Gammoudi,TUN,NaN,NaN
686,"10,000 metres",1964,M,3,Bronze,Ron Clarke,AUS,NaN,NaN
687,Marathon,1964,M,1,Gold,Abebe Bikila,ETH,7931.2,NaN
688,Marathon,1964,M,2,Silver,Basil Heatley,GBR,8179.2,NaN
689,Marathon,1964,M,3,Bronze,Kokichi Tsuburaya,JPN,8182.8,NaN
690,Long Jump,1964,M,1,Gold,Lynn Davies,GBR,NaN,8.07
691,Long Jump,1964,M,2,Silver,Ralph Boston,USA,NaN,8.03
692,Long Jump,1964,M,3,Bronze,Igor Ter-Ovanesyan,URS,NaN,7.99
693,Triple Jump,1964,M,1,Gold,JÃ³zef Szmidt,POL,NaN,16.85
694,Triple Jump,1964,M,2,Silver,Oleg Fedoseyev,URS,NaN,16.58
695,Triple Jump,1964,M,3,Bronze,Viktor Kravchenko,URS,NaN,16.57
696,Shot Put,1964,M,1,Gold,Dallas Long,USA,NaN,20.33
697,Shot Put,1964,M,2,Silver,Randy Matson,USA,NaN,20.20
698,Shot Put,1964,M,3,Bronze,Vilmos VarjÃº,HUN,NaN,19.39
699,Discus Throw,1964,M,1,Gold,Al Oerter,USA,NaN,61.00
700,Discus Throw,1964,M,2,Silver,LudvÃ­k DanÄk,TCH,NaN,60.52
701,Discus Throw,1964,M,3,Bronze,Dave Weill,USA,NaN,59.49
702,Hammer Throw,1964,M,1,Gold,Romuald Klim,URS,NaN,69.74
703,Hammer Throw,1964,M,2,Silver,Gyula ZsivÃ³tzky,HUN,NaN,69.09
704,Hammer Throw,1964,M,3,Bronze,Uwe Beyer,GER,NaN,68.09
705,Javelin Throw,1964,M,1,Gold,Pauli Nevala,FIN,NaN,82.66
706,Javelin Throw,1964,M,2,Silver,Gergely KulcsÃ¡r,HUN,NaN,82.32
707,Javelin Throw,1964,M,3,Bronze,JÄnis LÅ«sis,URS,NaN,80.57
708,100 metres,1964,F,1,Gold,Wyomia Tyus,USA,11.4,NaN
709,100 metres,1964,F,2,Silver,Edith McGuire,USA,11.6,NaN
710,100 metres,1964,F,3,Bronze,Ewa KÅobukowska,POL,11.6,NaN
711,200 metres,1964,F,1,Gold,Edith McGuire,USA,23.0,NaN
712,200 metres,1964,F,2,Silver,Irena Kirszenstein,POL,23.1,NaN
713,200 metres,1964,F,3,Bronze,Marilyn Black,AUS,23.1,NaN
714,400 metres,1964,F,1,Gold,Betty Cuthbert,AUS,52.0,NaN
715,400 metres,1964,F,2,Silver,Ann Packer,GBR,52.2,NaN
716,400 metres,1964,F,3,Bronze,Judy Amoore,AUS,53.4,NaN
717,800 metres,1964,F,1,Gold,Ann Packer,GBR,121.1,NaN
718,800 metres,1964,F,2,Silver,Maryvonne Dupureur,FRA,121.9,NaN
719,800 metres,1964,F,3,Bronze,Marise Chamberlain,NZL,122.8,NaN
720,Long Jump,1964,F,1,Gold,Mary Rand,GBR,NaN,6.76
721,Long Jump,1964,F,2,Silver,Irena Kirszenstein,POL,NaN,6.60
722,Long Jump,1964,F,3,Bronze,Tatyana Shchelkanova,URS,NaN,6.42
723,Shot Put,1964,F,1,Gold,Tamara Press,URS,NaN,18.14
724,Shot Put,1964,F,2,Silver,Renate Garisch-Culmberger,GER,NaN,17.61
725,Shot Put,1964,F,3,Bronze,Galina Zybina,URS,NaN,17.45
726,Discus Throw,1964,F,1,Gold,Tamara Press,URS,NaN,57.27
727,Discus Throw,1964,F,2,Silver,Ingrid Lotz,GER,NaN,57.21
728,Discus Throw,1964,F,3,Bronze,Lia Manoliu,ROU,NaN,56.97
729,Javelin Throw,1964,F,1,Gold,Mihaela PeneÈ,ROU,NaN,60.54
730,Javelin Throw,1964,F,2,Silver,MÃ¡rta Antal-Rudas,HUN,NaN,58.27
731,Javelin Throw,1964,F,3,Bronze,Yelena Gorchakova,URS,NaN,57.06
732,100 metres,1968,M,1,Gold,Jim Hines,USA,9.9,NaN
733,100 metres,1968,M,2,Silver,Lennox Miller,JAM,10.0,NaN
734,100 metres,1968,M,3,Bronze,Charlie Greene,USA,10.0,NaN
735,200 metres,1968,M,1,Gold,Tommie Smith,USA,19.8,NaN
736,200 metres,1968,M,2,Silver,Peter Norman,AUS,20.0,NaN
737,200 metres,1968,M,3,Bronze,John Carlos,USA,20.0,NaN
738,400 metres,1968,M,1,Gold,Lee Evans,USA,43.8,NaN
739,400 metres,1968,M,2,Silver,Larry James,USA,43.9,NaN
740,400 metres,1968,M,3,Bronze,Ron Freeman,USA,44.4,NaN
741,800 metres,1968,M,1,Gold,Ralph Doubell,AUS,104.3,NaN
742,800 metres,1968,M,2,Silver,Wilson Kiprugut,KEN,104.5,NaN
743,800 metres,1968,M,3,Bronze,Tom Farrell,USA,105.4,NaN
744,"1,500 metres",1968,M,1,Gold,Kip Keino,KEN,214.9,NaN
745,"1,500 metres",1968,M,2,Silver,Jim Ryun,USA,217.8,NaN
746,"1,500 metres",1968,M,3,Bronze,Bodo TÃ¼mmler,FRG,219.0,NaN
747,"5,000 metres",1968,M,1,Gold,Mohamad Gammoudi,TUN,845.0,NaN
748,"5,000 metres",1968,M,2,Silver,Kip Keino,KEN,845.2,NaN
749,"5,000 metres",1968,M,3,Bronze,Naftali Temu,KEN,846.4,NaN
750,"10,000 metres",1968,M,1,Gold,Naftali Temu,KEN,NaN,NaN
751,"10,000 metres",1968,M,2,Silver,Mamo Wolde,ETH,NaN,NaN
752,"10,000 metres",1968,M,3,Bronze,Mohamad Gammoudi,TUN,NaN,NaN
753,Marathon,1968,M,1,Gold,Mamo Wolde,ETH,8426.4,NaN
754,Marathon,1968,M,2,Silver,Kenji Kimihara,JPN,8611.0,NaN
755,Marathon,1968,M,3,Bronze,Mike Ryan,NZL,8625.0,NaN
756,Long Jump,1968,M,1,Gold,Bob Beamon,USA,NaN,8.90
757,Long Jump,1968,M,2,Silver,Klaus Beer,GDR,NaN,8.19
758,Long Jump,1968,M,3,Bronze,Ralph Boston,USA,NaN,8.16
759,Triple Jump,1968,M,1,Gold,Viktor Saneyev,URS,NaN,17.39
760,Triple Jump,1968,M,2,Silver,NÃ©lson PrudÃªncio,BRA,NaN,17.27
761,Triple Jump,1968,M,3,Bronze,Giuseppe Gentile,ITA,NaN,17.22
762,Shot Put,1968,M,1,Gold,Randy Matson,USA,NaN,20.54
763,Shot Put,1968,M,2,Silver,George Woods,USA,NaN,20.12
764,Shot Put,1968,M,3,Bronze,Eduard Gushchin,URS,NaN,20.09
765,Discus Throw,1968,M,1,Gold,Al Oerter,USA,NaN,64.78
766,Discus Throw,1968,M,2,Silver,Lothar Milde,GDR,NaN,63.08
767,Discus Throw,1968,M,3,Bronze,LudvÃ­k DanÄk,TCH,NaN,62.92
768,Hammer Throw,1968,M,1,Gold,Gyula ZsivÃ³tzky,HUN,NaN,73.36
769,Hammer Throw,1968,M,2,Silver,Romuald Klim,URS,NaN,73.28
770,Hammer Throw,1968,M,3,Bronze,LÃ¡zÃ¡r LovÃ¡sz,HUN,NaN,69.78
771,Javelin Throw,1968,M,1,Gold,JÄnis LÅ«sis,URS,NaN,90.10
772,Javelin Throw,1968,M,2,Silver,Jorma Kinnunen,FIN,NaN,88.58
773,Javelin Throw,1968,M,3,Bronze,Gergely KulcsÃ¡r,HUN,NaN,87.06
774,100 metres,1968,F,1,Gold,Wyomia Tyus,USA,11.0,NaN
775,100 metres,1968,F,2,Silver,Barbara Ferrell,USA,11.1,NaN
776,100 metres,1968,F,3,Bronze,Irena SzewiÅska,POL,11.1,NaN
777,200 metres,1968,F,1,Gold,Irena SzewiÅska,POL,22.5,NaN
778,200 metres,1968,F,2,Silver,Raelene Boyle,AUS,22.7,NaN
779,200 metres,1968,F,3,Bronze,Jennifer Lamy,AUS,22.8,NaN
780,400 metres,1968,F,1,Gold,Colette Besson,FRA,52.0,NaN
781,400 metres,1968,F,2,Silver,Lillian Board,GBR,52.1,NaN
782,400 metres,1968,F,3,Bronze,Nataliya Pechenkina,URS,52.2,NaN
783,800 metres,1968,F,1,Gold,Madeline Manning,USA,120.9,NaN
784,800 metres,1968,F,2,Silver,Ileana Silai,ROU,122.5,NaN
785,800 metres,1968,F,3,Bronze,Mia Gommers,NED,122.6,NaN
786,Long Jump,1968,F,1,Gold,Viorica Viscopoleanu,ROU,NaN,6.82
787,Long Jump,1968,F,2,Silver,Sheila Sherwood,GBR,NaN,6.68
788,Long Jump,1968,F,3,Bronze,Tatyana Talysheva,URS,NaN,6.66
789,Shot Put,1968,F,1,Gold,Margitta Gummel,GDR,NaN,19.61
790,Shot Put,1968,F,2,Silver,Marita Lange,GDR,NaN,18.78
791,Shot Put,1968,F,3,Bronze,Nadezhda Chizhova,URS,NaN,18.19
792,Discus Throw,1968,F,1,Gold,Lia Manoliu,ROU,NaN,58.28
793,Discus Throw,1968,F,2,Silver,Liesel Westermann,FRG,NaN,57.76
794,Discus Throw,1968,F,3,Bronze,JolÃ¡n Kleiber-Kontsek,HUN,NaN,54.90
795,Javelin Throw,1968,F,1,Gold,AngÃ©la NÃ©meth,HUN,NaN,60.36
796,Javelin Throw,1968,F,2,Silver,Mihaela PeneÈ,ROU,NaN,59.92
797,Javelin Throw,1968,F,3,Bronze,Eva Janko,AUT,NaN,58.04
798,100 metres,1972,M,1,Gold,Valery Borzov,URS,10.14,NaN
799,100 metres,1972,M,2,Silver,Robert Taylor,USA,10.24,NaN
800,100 metres,1972,M,3,Bronze,Lennox Miller,JAM,10.33,NaN
801,200 metres,1972,M,1,Gold,Valery Borzov,URS,20.0,NaN
802,200 metres,1972,M,2,Silver,Larry Black,USA,20.19,NaN
803,200 metres,1972,M,3,Bronze,Pietro Mennea,ITA,20.3,NaN
804,400 metres,1972,M,1,Gold,Vince Matthews,USA,44.66,NaN
805,400 metres,1972,M,2,Silver,Wayne Collett,USA,44.8,NaN
806,400 metres,1972,M,3,Bronze,Julius Sang,KEN,44.92,NaN
807,800 metres,1972,M,1,Gold,Dave Wottle,USA,105.86,NaN
808,800 metres,1972,M,2,Silver,Yevgeny Arzhanov,URS,105.89,NaN
809,800 metres,1972,M,3,Bronze,Mike Boit,KEN,106.00999999999999,NaN
810,"1,500 metres",1972,M,1,Gold,Pekka Vasala,FIN,216.32999999999998,NaN
811,"1,500 metres",1972,M,2,Silver,Kip Keino,KEN,216.81,NaN
812,"1,500 metres",1972,M,3,Bronze,Rod Dixon,NZL,217.46,NaN
813,"5,000 metres",1972,M,1,Gold,Lasse VirÃ©n,FIN,806.42,NaN
814,"5,000 metres",1972,M,2,Silver,Mohamad Gammoudi,TUN,807.33,NaN
815,"5,000 metres",1972,M,3,Bronze,Ian Stewart,GBR,807.61,NaN
816,"10,000 metres",1972,M,1,Gold,Lasse VirÃ©n,FIN,1658.35,NaN
817,"10,000 metres",1972,M,2,Silver,Miel Puttemans,BEL,1659.58,NaN
818,"10,000 metres",1972,M,3,Bronze,Miruts Yifter,ETH,1660.96,NaN
819,Marathon,1972,M,1,Gold,Frank Shorter,USA,7939.8,NaN
820,Marathon,1972,M,2,Silver,Karel Lismont,BEL,8071.8,NaN
821,Marathon,1972,M,3,Bronze,Mamo Wolde,ETH,8108.4,NaN
822,Long Jump,1972,M,1,Gold,Randy Williams,USA,NaN,8.24
823,Long Jump,1972,M,2,Silver,Hans Baumgartner,FRG,NaN,8.18
824,Long Jump,1972,M,3,Bronze,Arnie Robinson,USA,NaN,8.03
825,Triple Jump,1972,M,1,Gold,Viktor Saneyev,URS,NaN,17.35
826,Triple Jump,1972,M,2,Silver,JÃ¶rg Drehmel,GDR,NaN,17.31
827,Triple Jump,1972,M,3,Bronze,NÃ©lson PrudÃªncio,BRA,NaN,17.05
828,Shot Put,1972,M,1,Gold,WÅadysÅaw Komar,POL,NaN,21.18
829,Shot Put,1972,M,2,Silver,George Woods,USA,NaN,21.17
830,Shot Put,1972,M,3,Bronze,Hartmut Briesenick,GDR,NaN,21.14
831,Discus Throw,1972,M,1,Gold,LudvÃ­k DanÄk,TCH,NaN,64.40
832,Discus Throw,1972,M,2,Silver,Jay Silvester,USA,NaN,63.50
833,Discus Throw,1972,M,3,Bronze,Ricky Bruch,SWE,NaN,63.40
834,Hammer Throw,1972,M,1,Gold,Anatoly Bondarchuk,URS,NaN,75.50
835,Hammer Throw,1972,M,2,Silver,Jochen Sachse,GDR,NaN,74.96
836,Hammer Throw,1972,M,3,Bronze,Vasily Khmelevsky,URS,NaN,74.04
837,Javelin Throw,1972,M,1,Gold,Klaus Wolfermann,FRG,NaN,90.48
838,Javelin Throw,1972,M,2,Silver,JÄnis LÅ«sis,URS,NaN,90.46
839,Javelin Throw,1972,M,3,Bronze,Bill Schmidt,USA,NaN,84.42
840,100 metres,1972,F,1,Gold,Renate Stecher,GDR,11.07,NaN
841,100 metres,1972,F,2,Silver,Raelene Boyle,AUS,11.23,NaN
842,100 metres,1972,F,3,Bronze,Silvia ChivÃ¡s,CUB,11.24,NaN
843,200 metres,1972,F,1,Gold,Renate Stecher,GDR,22.4,NaN
844,200 metres,1972,F,2,Silver,Raelene Boyle,AUS,22.45,NaN
845,200 metres,1972,F,3,Bronze,Irena SzewiÅska,POL,22.74,NaN
846,400 metres,1972,F,1,Gold,Monika Zehrt,GDR,51.08,NaN
847,400 metres,1972,F,2,Silver,Rita Wilden,FRG,51.21,NaN
848,400 metres,1972,F,3,Bronze,Kathy Hammond,USA,51.64,NaN
849,800 metres,1972,F,1,Gold,Hildegard Falck,FRG,118.55,NaN
850,800 metres,1972,F,2,Silver,NijolÄ SabaitÄ,URS,118.65,NaN
851,800 metres,1972,F,3,Bronze,Gunhild Hoffmeister,GDR,119.19,NaN
852,"1,500 metres",1972,F,1,Gold,Lyudmila Bragina,URS,241.38,NaN
853,"1,500 metres",1972,F,2,Silver,Gunhild Hoffmeister,GDR,242.83,NaN
854,"1,500 metres",1972,F,3,Bronze,Paola Cacchi,ITA,242.85,NaN
855,Long Jump,1972,F,1,Gold,Heide Rosendahl,FRG,NaN,6.78
856,Long Jump,1972,F,2,Silver,Diana Yorgova,BUL,NaN,6.77
857,Long Jump,1972,F,3,Bronze,Eva Å uranovÃ¡,TCH,NaN,6.67
858,Shot Put,1972,F,1,Gold,Nadezhda Chizhova,URS,NaN,21.03
859,Shot Put,1972,F,2,Silver,Margitta Gummel,GDR,NaN,20.22
860,Shot Put,1972,F,3,Bronze,Ivanka Hristova,BUL,NaN,19.35
861,Discus Throw,1972,F,1,Gold,Faina Melnik,URS,NaN,66.62
862,Discus Throw,1972,F,2,Silver,Argentina Menis,ROU,NaN,65.06
863,Discus Throw,1972,F,3,Bronze,Vasilka Stoeva,BUL,NaN,64.34
864,Javelin Throw,1972,F,1,Gold,Ruth Fuchs,GDR,NaN,63.88
865,Javelin Throw,1972,F,2,Silver,Jacqueline Todten,GDR,NaN,62.54
866,Javelin Throw,1972,F,3,Bronze,Kate Schmidt,USA,NaN,59.94
867,100 metres,1976,M,1,Gold,Hasely Crawford,TTO,10.06,NaN
868,100 metres,1976,M,2,Silver,Don Quarrie,JAM,10.08,NaN
869,100 metres,1976,M,3,Bronze,Valery Borzov,URS,10.14,NaN
870,200 metres,1976,M,1,Gold,Don Quarrie,JAM,20.23,NaN
871,200 metres,1976,M,2,Silver,Millard Hampton,USA,20.29,NaN
872,200 metres,1976,M,3,Bronze,Dwayne Evans,USA,20.43,NaN
873,400 metres,1976,M,1,Gold,Alberto Juantorena,CUB,44.26,NaN
874,400 metres,1976,M,2,Silver,Fred Newhouse,USA,44.4,NaN
875,400 metres,1976,M,3,Bronze,Herman Frazier,USA,44.95,NaN
876,800 metres,1976,M,1,Gold,Alberto Juantorena,CUB,103.5,NaN
877,800 metres,1976,M,2,Silver,Ivo Van Damme,BEL,103.86,NaN
878,800 metres,1976,M,3,Bronze,Rick Wohlhuter,USA,104.12,NaN
879,"1,500 metres",1976,M,1,Gold,John Walker,NZL,219.17000000000002,NaN
880,"1,500 metres",1976,M,2,Silver,Ivo Van Damme,BEL,219.27,NaN
881,"1,500 metres",1976,M,3,Bronze,Paul-Heinz Wellmann,FRG,219.32999999999998,NaN
882,"5,000 metres",1976,M,1,Gold,Lasse VirÃ©n,FIN,804.76,NaN
883,"5,000 metres",1976,M,2,Silver,Dick Quax,NZL,805.16,NaN
884,"5,000 metres",1976,M,3,Bronze,Klaus-Peter Hildenbrand,FRG,805.38,NaN
885,"10,000 metres",1976,M,1,Gold,Lasse VirÃ©n,FIN,1660.38,NaN
886,"10,000 metres",1976,M,2,Silver,Carlos Lopes,POR,1665.17,NaN
887,"10,000 metres",1976,M,3,Bronze,Brendan Foster,GBR,1674.92,NaN
888,Marathon,1976,M,1,Gold,Waldemar Cierpinski,GDR,7795.0,NaN
889,Marathon,1976,M,2,Silver,Frank Shorter,USA,7845.8,NaN
890,Marathon,1976,M,3,Bronze,Karel Lismont,BEL,7872.6,NaN
891,Long Jump,1976,M,1,Gold,Arnie Robinson,USA,NaN,8.35
892,Long Jump,1976,M,2,Silver,Randy Williams,USA,NaN,8.11
893,Long Jump,1976,M,3,Bronze,Frank Wartenberg,GDR,NaN,8.02
894,Triple Jump,1976,M,1,Gold,Viktor Saneyev,URS,NaN,17.29
895,Triple Jump,1976,M,2,Silver,James Butts,USA,NaN,17.18
896,Triple Jump,1976,M,3,Bronze,JoÃ£o do Pulo,BRA,NaN,16.90
897,Shot Put,1976,M,1,Gold,Udo Beyer,GDR,NaN,21.05
898,Shot Put,1976,M,2,Silver,Yevgeny Mironov,URS,NaN,21.03
899,Shot Put,1976,M,3,Bronze,Aleksandr Baryshnikov,URS,NaN,21.00
900,Discus Throw,1976,M,1,Gold,Mac Wilkins,USA,NaN,67.50
901,Discus Throw,1976,M,2,Silver,Wolfgang Schmidt,GDR,NaN,66.22
902,Discus Throw,1976,M,3,Bronze,John Powell,USA,NaN,65.70
903,Hammer Throw,1976,M,1,Gold,Yury Sedykh,URS,NaN,77.52
904,Hammer Throw,1976,M,2,Silver,Aleksey Spiridonov,URS,NaN,76.08
905,Hammer Throw,1976,M,3,Bronze,Anatoly Bondarchuk,URS,NaN,75.48
906,Javelin Throw,1976,M,1,Gold,MiklÃ³s NÃ©meth,HUN,NaN,94.58
907,Javelin Throw,1976,M,2,Silver,Hannu Siitonen,FIN,NaN,87.92
908,Javelin Throw,1976,M,3,Bronze,Gheorghe Megelea,ROU,NaN,87.16
909,100 metres,1976,F,1,Gold,Annegret Richter,FRG,11.08,NaN
910,100 metres,1976,F,2,Silver,Renate Stecher,GDR,11.13,NaN
911,100 metres,1976,F,3,Bronze,Inge Helten,FRG,11.17,NaN
912,200 metres,1976,F,1,Gold,BÃ¤rbel Eckert,GDR,22.37,NaN
913,200 metres,1976,F,2,Silver,Annegret Richter,FRG,22.39,NaN
914,200 metres,1976,F,3,Bronze,Renate Stecher,GDR,22.47,NaN
915,400 metres,1976,F,1,Gold,Irena SzewiÅska,POL,49.28,NaN
916,400 metres,1976,F,2,Silver,Christina Brehmer,GDR,50.51,NaN
917,400 metres,1976,F,3,Bronze,Ellen Streidt,GDR,50.55,NaN
918,800 metres,1976,F,1,Gold,Tatyana Kazankina,URS,114.94,NaN
919,800 metres,1976,F,2,Silver,Nikolina Shtereva,BUL,115.42,NaN
920,800 metres,1976,F,3,Bronze,Elfi Zinn,GDR,115.6,NaN
921,"1,500 metres",1976,F,1,Gold,Tatyana Kazankina,URS,245.48,NaN
922,"1,500 metres",1976,F,2,Silver,Gunhild Hoffmeister,GDR,246.02,NaN
923,"1,500 metres",1976,F,3,Bronze,Ulrike Klapezynski,GDR,246.09,NaN
924,Long Jump,1976,F,1,Gold,Angela Voigt,GDR,NaN,6.72
925,Long Jump,1976,F,2,Silver,Kathy McMillan,USA,NaN,6.66
926,Long Jump,1976,F,3,Bronze,Lidiya Alfeyeva,URS,NaN,6.60
927,Shot Put,1976,F,1,Gold,Ivanka Hristova,BUL,NaN,21.16
928,Shot Put,1976,F,2,Silver,Nadezhda Chizhova,URS,NaN,20.96
929,Shot Put,1976,F,3,Bronze,Helena FibingerovÃ¡,TCH,NaN,20.67
930,Discus Throw,1976,F,1,Gold,Evelin Schlaak,GDR,NaN,69.00
931,Discus Throw,1976,F,2,Silver,Mariya Vergova,BUL,NaN,67.30
932,Discus Throw,1976,F,3,Bronze,Gabriele Hinzmann,GDR,NaN,66.84
933,Javelin Throw,1976,F,1,Gold,Ruth Fuchs,GDR,NaN,65.94
934,Javelin Throw,1976,F,2,Silver,Marion Becker,FRG,NaN,64.70
935,Javelin Throw,1976,F,3,Bronze,Kate Schmidt,USA,NaN,63.96
936,100 metres,1980,M,1,Gold,Allan Wells,GBR,10.25,NaN
937,100 metres,1980,M,2,Silver,Silvio Leonard,CUB,10.25,NaN
938,100 metres,1980,M,3,Bronze,Petar Petrov,BUL,10.39,NaN
939,200 metres,1980,M,1,Gold,Pietro Mennea,ITA,20.19,NaN
940,200 metres,1980,M,2,Silver,Allan Wells,GBR,20.21,NaN
941,200 metres,1980,M,3,Bronze,Don Quarrie,JAM,20.29,NaN
942,400 metres,1980,M,1,Gold,Viktor Markin,URS,44.6,NaN
943,400 metres,1980,M,2,Silver,Rick Mitchell,AUS,44.84,NaN
944,400 metres,1980,M,3,Bronze,Frank Schaffer,GDR,44.87,NaN
945,800 metres,1980,M,1,Gold,Steve Ovett,GBR,105.4,NaN
946,800 metres,1980,M,2,Silver,Seb Coe,GBR,105.9,NaN
947,800 metres,1980,M,3,Bronze,Nikolay Kirov,URS,106.0,NaN
948,"1,500 metres",1980,M,1,Gold,Seb Coe,GBR,218.4,NaN
949,"1,500 metres",1980,M,2,Silver,JÃ¼rgen Straub,GDR,218.8,NaN
950,"1,500 metres",1980,M,3,Bronze,Steve Ovett,GBR,219.0,NaN
951,"5,000 metres",1980,M,1,Gold,Miruts Yifter,ETH,801.0,NaN
952,"5,000 metres",1980,M,2,Silver,Suleiman Nyambui,TAN,801.6,NaN
953,"5,000 metres",1980,M,3,Bronze,Kaarlo Maaninka,FIN,802.0,NaN
954,"10,000 metres",1980,M,1,Gold,Miruts Yifter,ETH,1662.7,NaN
955,"10,000 metres",1980,M,2,Silver,Kaarlo Maaninka,FIN,1664.3,NaN
956,"10,000 metres",1980,M,3,Bronze,Mohamed Kedir,ETH,1664.7,NaN
957,Marathon,1980,M,1,Gold,Waldemar Cierpinski,GDR,7863.0,NaN
958,Marathon,1980,M,2,Silver,Gerard Nijboer,NED,7880.0,NaN
959,Marathon,1980,M,3,Bronze,Satymkul Dzhumanazarov,URS,7895.0,NaN
960,Long Jump,1980,M,1,Gold,Lutz Dombrowski,GDR,NaN,8.54
961,Long Jump,1980,M,2,Silver,Frank Paschek,GDR,NaN,8.21
962,Long Jump,1980,M,3,Bronze,Valery Podluzhny,URS,NaN,8.18
963,Triple Jump,1980,M,1,Gold,Jaak UudmÃ¤e,URS,NaN,17.35
964,Triple Jump,1980,M,2,Silver,Viktor Saneyev,URS,NaN,17.24
965,Triple Jump,1980,M,3,Bronze,JoÃ£o do Pulo,BRA,NaN,17.22
966,Shot Put,1980,M,1,Gold,Vladimir Kiselyov,URS,NaN,21.35
967,Shot Put,1980,M,2,Silver,Aleksandr Baryshnikov,URS,NaN,21.08
968,Shot Put,1980,M,3,Bronze,Udo Beyer,GDR,NaN,21.06
969,Discus Throw,1980,M,1,Gold,Viktor Rashchupkin,URS,NaN,66.64
970,Discus Throw,1980,M,2,Silver,Imrich BugÃ¡r,TCH,NaN,66.38
971,Discus Throw,1980,M,3,Bronze,Luis DelÃ­s,CUB,NaN,66.32
972,Hammer Throw,1980,M,1,Gold,Yury Sedykh,URS,NaN,81.80
973,Hammer Throw,1980,M,2,Silver,Sergey Litvinov,URS,NaN,80.64
974,Hammer Throw,1980,M,3,Bronze,JÃ¼ri Tamm,URS,NaN,78.96
975,Javelin Throw,1980,M,1,Gold,Dainis KÅ«la,URS,NaN,91.20
976,Javelin Throw,1980,M,2,Silver,Aleksandr Makarov,URS,NaN,89.64
977,Javelin Throw,1980,M,3,Bronze,Wolfgang Hanisch,GDR,NaN,86.72
978,100 metres,1980,F,1,Gold,Lyudmila Kondratyeva,URS,11.06,NaN
979,100 metres,1980,F,2,Silver,Marlies GÃ¶hr,GDR,11.07,NaN
980,100 metres,1980,F,3,Bronze,Ingrid Auerswald,GDR,11.14,NaN
981,200 metres,1980,F,1,Gold,BÃ¤rbel WÃ¶ckel,GDR,22.03,NaN
982,200 metres,1980,F,2,Silver,Nataliya Bochina,URS,22.19,NaN
983,200 metres,1980,F,3,Bronze,Merlene Ottey,JAM,22.2,NaN
984,400 metres,1980,F,1,Gold,Marita Koch,GDR,48.88,NaN
985,400 metres,1980,F,2,Silver,Jarmila KratochvÃ­lovÃ¡,TCH,49.46,NaN
986,400 metres,1980,F,3,Bronze,Christina Lathan,GDR,49.66,NaN
987,800 metres,1980,F,1,Gold,Nadezhda Olizarenko,URS,113.5,NaN
988,800 metres,1980,F,2,Silver,Olga Syrovatskaya-Mineyeva,URS,114.9,NaN
989,800 metres,1980,F,3,Bronze,Tatyana Providokhina,URS,115.5,NaN
990,"1,500 metres",1980,F,1,Gold,Tatyana Kazankina,URS,236.6,NaN
991,"1,500 metres",1980,F,2,Silver,Christiane Wartenberg,GDR,237.8,NaN
992,"1,500 metres",1980,F,3,Bronze,Nadezhda Olizarenko,URS,239.6,NaN
993,Long Jump,1980,F,1,Gold,Tatyana Kolpakova,URS,NaN,7.06
994,Long Jump,1980,F,2,Silver,Brigitte Wujak,GDR,NaN,7.04
995,Long Jump,1980,F,3,Bronze,Tatyana Skachko,URS,NaN,7.01
996,Shot Put,1980,F,1,Gold,Ilona Slupianek,GDR,NaN,22.41
997,Shot Put,1980,F,2,Silver,Esfir Krachevskaya,URS,NaN,21.42
998,Shot Put,1980,F,3,Bronze,Margitta Pufe,GDR,NaN,21.2
999,Discus Throw,1980,F,1,Gold,Evelin Jahl,GDR,NaN,69.96
1000,Discus Throw,1980,F,2,Silver,Mariya Petkova,BUL,NaN,67.90
1001,Discus Throw,1980,F,3,Bronze,Tatyana Lesovaya,URS,NaN,67.40
1002,Javelin Throw,1980,F,1,Gold,MarÃ­a ColÃ³n,CUB,NaN,68.40
1003,Javelin Throw,1980,F,2,Silver,Saida Gunba,URS,NaN,67.76
1004,Javelin Throw,1980,F,3,Bronze,Ute Hommola,GDR,NaN,66.56
1005,100 metres,1984,M,1,Gold,Carl Lewis,USA,9.99,NaN
1006,100 metres,1984,M,2,Silver,Sam Graddy,USA,10.19,NaN
1007,100 metres,1984,M,3,Bronze,Ben Johnson,CAN,10.22,NaN
1008,200 metres,1984,M,1,Gold,Carl Lewis,USA,19.8,NaN
1009,200 metres,1984,M,2,Silver,Kirk Baptiste,USA,19.96,NaN
1010,200 metres,1984,M,3,Bronze,Thomas Jefferson,USA,20.26,NaN
1011,400 metres,1984,M,1,Gold,Alonzo Babers,USA,44.27,NaN
1012,400 metres,1984,M,2,Silver,Gabriel Tiacoh,CIV,44.54,NaN
1013,400 metres,1984,M,3,Bronze,Antonio McKay,USA,44.71,NaN
1014,800 metres,1984,M,1,Gold,Joaquim Cruz,BRA,103.0,NaN
1015,800 metres,1984,M,2,Silver,Seb Coe,GBR,103.64,NaN
1016,800 metres,1984,M,3,Bronze,Earl Jones,USA,103.83,NaN
1017,"1,500 metres",1984,M,1,Gold,Seb Coe,GBR,212.53,NaN
