,Event,Year,Gender,Position,Medal,Athlete,NOC,Time,Distance
423,100 metres,1948,M,2,Silver,Barney Ewell,USA,10.4,NaN
424,100 metres,1948,M,3,Bronze,Lloyd LaBeach,PAN,10.6,NaN
425,200 metres,1948,M,1,Gold,Mel Patton,USA,21.1,NaN
426,200 metres,1948,M,2,Silver,Barney Ewell,USA,21.1,NaN
427,200 metres,1948,M,3,Bronze,Lloyd LaBeach,PAN,21.2,NaN
428,400 metres,1948,M,1,Gold,Arthur Wint,JAM,46.2,NaN
429,400 metres,1948,M,2,Silver,Herb McKenley,JAM,46.4,NaN
430,400 metres,1948,M,3,Bronze,Mal Whitfield,USA,46.9,NaN
431,800 metres,1948,M,1,Gold,Mal Whitfield,USA,109.2,NaN
432,800 metres,1948,M,2,Silver,Arthur Wint,JAM,109.5,NaN
433,800 metres,1948,M,3,Bronze,Marcel Hansenne,FRA,109.8,NaN
434,"1,500 metres",1948,M,1,Gold,Henry Eriksson,SWE,229.8,NaN
435,"1,500 metres",1948,M,2,Silver,Lennart Strand,SWE,230.4,NaN
436,"1,500 metres",1948,M,3,Bronze,Wim Slijkhuis,NED,230.4,NaN
437,"5,000 metres",1948,M,1,Gold,Gaston Reiff,BEL,857.6,NaN
438,"5,000 metres",1948,M,2,Silver,Emil ZÃ¡topek,TCH,857.8,NaN
439,"5,000 metres",1948,M,3,Bronze,Wim Slijkhuis,NED,866.8,NaN
440,"10,000 metres",1948,M,1,Gold,Emil ZÃ¡topek,TCH,NaN,NaN
441,"10,000 metres",1948,M,2,Silver,Alain Mimoun,FRA,NaN,NaN
442,"10,000 metres",1948,M,3,Bronze,Bertil Albertsson,SWE,NaN,NaN
443,Marathon,1948,M,1,Gold,Delfo Cabrera,ARG,9291.6,NaN
444,Marathon,1948,M,2,Silver,Tom Richards,GBR,9307.6,NaN
445,Marathon,1948,M,3,Bronze,Ãtienne Gailly,BEL,9333.6,NaN
446,Long Jump,1948,M,1,Gold,Willie Steele,USA,NaN,7.825
447,Long Jump,1948,M,2,Silver,Bill Bruce,AUS,NaN,7.555
448,Long Jump,1948,M,3,Bronze,Herb Douglas,USA,NaN,7.545
449,Triple Jump,1948,M,1,Gold,Arne Ãhman,SWE,NaN,15.400
450,Triple Jump,1948,M,2,Silver,George Avery,AUS,NaN,15.365
451,Triple Jump,1948,M,3,Bronze,Ruhi SarÄ±alp,TUR,NaN,15.025
452,Shot Put,1948,M,1,Gold,Wilbur Thompson,USA,NaN,17.120
453,Shot Put,1948,M,2,Silver,Jim Delaney,USA,NaN,16.680
454,Shot Put,1948,M,3,Bronze,Jim Fuchs,USA,NaN,16.420
455,Discus Throw,1948,M,1,Gold,Adolfo Consolini,ITA,NaN,52.78
456,Discus Throw,1948,M,2,Silver,Giuseppe Tosi,ITA,NaN,51.78
457,Discus Throw,1948,M,3,Bronze,Fortune Gordien,USA,NaN,50.77
458,Hammer Throw,1948,M,1,Gold,Imre NÃ©meth,HUN,NaN,56.07
459,Hammer Throw,1948,M,2,Silver,Ivan Gubijan,YUG,NaN,54.27
460,Hammer Throw,1948,M,3,Bronze,Bob Bennett,USA,NaN,53.73
461,Javelin Throw,1948,M,1,Gold,Tapio Rautavaara,FIN,NaN,69.77
462,Javelin Throw,1948,M,2,Silver,Steve Seymour,USA,NaN,67.56
463,Javelin Throw,1948,M,3,Bronze,JÃ³zsef VÃ¡rszegi,HUN,NaN,67.03
464,100 metres,1948,F,1,Gold,Fanny Blankers-Koen,NED,11.9,NaN
465,100 metres,1948,F,2,Silver,Dorothy Manley,GBR,12.2,NaN
466,100 metres,1948,F,3,Bronze,Shirley Strickland,AUS,12.2,NaN
467,200 metres,1948,F,1,Gold,Fanny Blankers-Koen,NED,24.4,NaN
468,200 metres,1948,F,2,Silver,Audrey Williamson,GBR,25.1,NaN
469,200 metres,1948,F,4,Bronze,Mickey Patterson,USA,25.2,NaN
470,Long Jump,1948,F,1,Gold,Olga Gyarmati,HUN,NaN,5.695
471,Long Jump,1948,F,2,Silver,NoemÃ­ Simonetto de Portela,ARG,NaN,5.600
