Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
2,Herb McKenley,JAM,10.4 (2),Silver,100 metres,M,1952,,,,
3,McDonald Bailey,GBR,10.4 (3),Bronze,100 metres,M,1952,,,,
1,Andy Stanfield,USA,20.7 (1),Gold,200 metres,M,1952,,,,
2,Thane Baker,USA,20.8 (2),Silver,200 metres,M,1952,,,,
3,Jimmy Gathers,USA,20.8 (3),Bronze,200 metres,M,1952,,,,
1,George Rhoden,JAM,45.9 (1),Gold,400 metres,M,1952,,,,
2,Herb McKenley,JAM,45.9 (2),Silver,400 metres,M,1952,,,,
3,Ollie Matson,USA,46.8 (3),Bronze,400 metres,M,1952,,,,
1,Mal Whitfield,USA,1:49.2 (1),Gold,800 metres,M,1952,,,,
2,Arthur Wint,JAM,1:49.4 (2),Silver,800 metres,M,1952,,,,
3,Heinz Ulzheimer,GER,1:49.7 (3),Bronze,800 metres,M,1952,,,,
1,Josy Barthel,LUX,3:45.2 (1),Gold,"1,500 metres",M,1952,,,,
2,Bob McMillen,USA,3:45.2 (2),Silver,"1,500 metres",M,1952,,,,
3,Werner Lueg,GER,3:45.4 (3),Bronze,"1,500 metres",M,1952,,,,
1,Emil ZÃ¡topek,TCH,14:06.6 (1),Gold,"5,000 metres",M,1952,,,,
2,Alain Mimoun,FRA,14:07.4 (2),Silver,"5,000 metres",M,1952,,,,
3,Herbert Schade,GER,14:08.6 (3),Bronze,"5,000 metres",M,1952,,,,
1,Emil ZÃ¡topek,TCH,,Gold,"10,000 metres",M,1952,,,,29:17.0
2,Alain Mimoun,FRA,,Silver,"10,000 metres",M,1952,,,,29:32.8
3,Aleksandr Anufriyev,URS,,Bronze,"10,000 metres",M,1952,,,,29:48.2
1,Emil ZÃ¡topek,TCH,,Gold,Marathon,M,1952,2-23:03.2,,,
2,Reinaldo Gorno,ARG,,Silver,Marathon,M,1952,2-25:35.0,,,
3,Gustaf Jansson,SWE,,Bronze,Marathon,M,1952,2-26:07.0,,,
1,Harrison Dillard,USA,13.7 (1),Gold,110 metres Hurdles,M,1952,,,,
2,Jack Davis,USA,13.7 (2),Silver,110 metres Hurdles,M,1952,,,,
3,Art Barnard,USA,14.1 (3),Bronze,110 metres Hurdles,M,1952,,,,
1,Charlie Moore,USA,50.8 (1),Gold,400 metres Hurdles,M,1952,,,,
2,Yury Lituyev,URS,51.3 (2),Silver,400 metres Hurdles,M,1952,,,,
3,John Holland,NZL,52.2 (3),Bronze,400 metres Hurdles,M,1952,,,,
1,Horace Ashenfelter,USA,8:45.4 (1),Gold,"3,000 metres Steeplechase",M,1952,,,,
2,Vladimir Kazantsev,URS,8:51.6 (2),Silver,"3,000 metres Steeplechase",M,1952,,,,
3,John Disley,GBR,8:51.8 (3),Bronze,"3,000 metres Steeplechase",M,1952,,,,
1,,SWE,,Gold,10 kilometres Walk,M,1952,,,,
2,,SUI,,Silver,10 kilometres Walk,M,1952,,,,
3,,URS,,Bronze,10 kilometres Walk,M,1952,,,,
1,,ITA,,Gold,50 kilometres Walk,M,1952,4-28:07.8,,,
2,,TCH,,Silver,50 kilometres Walk,M,1952,4-30:17.8,,,
3,,HUN,,Bronze,50 kilometres Walk,M,1952,4-31:27.2,,,
1,Buddy Davis,USA,,Gold,High Jump,M,1952,,,,
2,Ken Wiesner,USA,,Silver,High Jump,M,1952,,,,
3,JosÃ© da ConceiÃ§Ã£o,BRA,,Bronze,High Jump,M,1952,,,,
1,Bob Richards,USA,,Gold,Pole Vault,M,1952,,,,
2,Don Laz,USA,,Silver,Pole Vault,M,1952,,,,
3,Ragnar Lundberg,SWE,,Bronze,Pole Vault,M,1952,,,,
1,Jerome Biffle,USA,7.57 (1),Gold,Long Jump,M,1952,,,,
2,Meredith Gourdine,USA,7.53 (2),Silver,Long Jump,M,1952,,,,
3,ÃdÃ¶n FÃ¶ldessy,HUN,7.30 (3),Bronze,Long Jump,M,1952,,,,
1,Adhemar da Silva,BRA,16.22 (1),Gold,Triple Jump,M,1952,,,,
2,Leonid Shcherbakov,URS,15.98 (2),Silver,Triple Jump,M,1952,,,,
3,Asnoldo Devonish,VEN,15.52 (3),Bronze,Triple Jump,M,1952,,,,
1,Parry O'Brien,USA,17.41 (1),Gold,Shot Put,M,1952,,,,
2,Darrow Hooper,USA,17.39 (2),Silver,Shot Put,M,1952,,,,
3,Jim Fuchs,USA,17.06 (3),Bronze,Shot Put,M,1952,,,,
1,Sim Iness,USA,55.03 (1),Gold,Discus Throw,M,1952,,,,
2,Adolfo Consolini,ITA,53.78 (2),Silver,Discus Throw,M,1952,,,,
3,Jim Dillion,USA,53.28 (3),Bronze,Discus Throw,M,1952,,,,
1,JÃ³zsef CsermÃ¡k,HUN,60.34 (1),Gold,Hammer Throw,M,1952,,,,
2,Karl Storch,GER,58.86 (2),Silver,Hammer Throw,M,1952,,,,
3,Imre NÃ©meth,HUN,57.74 (3),Bronze,Hammer Throw,M,1952,,,,
1,Cy Young,USA,73.78 (1),Gold,Javelin Throw,M,1952,,,,
2,Bill Miller,USA,72.46 (2),Silver,Javelin Throw,M,1952,,,,
3,Toivo HyytiÃ¤inen,FIN,71.89 (3),Bronze,Javelin Throw,M,1952,,,,
1,Marjorie Jackson,AUS,11.5 (1),Gold,100 metres,F,1952,,,,
2,Daphne HasenjÃ¤ger,RSA,11.8 (2),Silver,100 metres,F,1952,,,,
3,Shirley Strickland de la Hunty,AUS,11.9 (3),Bronze,100 metres,F,1952,,,,
1,Marjorie Jackson,AUS,23.7 (1),Gold,200 metres,F,1952,,,,
2,Puck Brouwer,NED,24.2 (2),Silver,200 metres,F,1952,,,,
3,Nadezhda Khnik'ina,URS,24.2 (3),Bronze,200 metres,F,1952,,,,
1,Shirley Strickland de la Hunty,AUS,10.9 (1),Gold,80 metres Hurdles,F,1952,,,,
2,Mariya Golubnichaya,URS,11.1 (2),Silver,80 metres Hurdles,F,1952,,,,
3,Maria Sander,GER,11.1 (3),Bronze,80 metres Hurdles,F,1952,,,,
1,Esther Brand,RSA,,Gold,High Jump,F,1952,,1.67,,
2,Sheila Lerwill,GBR,,Silver,High Jump,F,1952,,1.65,,
3,Aleksandra Chudina,URS,,Bronze,High Jump,F,1952,,1.63,,
1,Yvette Williams,NZL,6.24 (1),Gold,Long Jump,F,1952,,,,
2,Aleksandra Chudina,URS,6.14 (2),Silver,Long Jump,F,1952,,,,
3,Shirley Cawley,GBR,5.92 (3),Bronze,Long Jump,F,1952,,,,
1,Galina Zybina,URS,15.28 (1),Gold,Shot Put,F,1952,,,,
2,Marianne Werner,GER,14.57 (2),Silver,Shot Put,F,1952,,,,
3,Klavdiya Tochonova,URS,14.50 (3),Bronze,Shot Put,F,1952,,,,
1,Nina Romashkova,URS,51.42 (1),Gold,Discus Throw,F,1952,,,,
2,Yelizaveta Bagryantseva,URS,47.08 (2),Silver,Discus Throw,F,1952,,,,
3,Nino Dumbadze,URS,46.29 (3),Bronze,Discus Throw,F,1952,,,,
1,Dana ZÃ¡topkovÃ¡,TCH,50.47 (1),Gold,Javelin Throw,F,1952,,,,
2,Aleksandra Chudina,URS,50.01 (2),Silver,Javelin Throw,F,1952,,,,
3,Yelena Gorchakova,URS,49.76 (3),Bronze,Javelin Throw,F,1952,,,,
1,Bobby Joe Morrow,USA,10.5 (1),Gold,100 metres,M,1956,,,,
2,Thane Baker,USA,10.5 (2),Silver,100 metres,M,1956,,,,
3,Hec Hogan,AUS,10.6 (3),Bronze,100 metres,M,1956,,,,
1,Bobby Joe Morrow,USA,20.6 (1),Gold,200 metres,M,1956,,,,
2,Andy Stanfield,USA,20.7 (2),Silver,200 metres,M,1956,,,,
3,Thane Baker,USA,20.9 (3),Bronze,200 metres,M,1956,,,,
1,Charlie Jenkins,USA,46.7 (1),Gold,400 metres,M,1956,,,,
2,Karl-Friedrich Haas,GER,46.8 (2),Silver,400 metres,M,1956,,,,
=3,Voitto HellstÃ©n,FIN,47.0 (=3),Bronze,400 metres,M,1956,,,,
=3,Ardalion Ignatyev,URS,47.0 (=3),Bronze,400 metres,M,1956,,,,
1,Tom Courtney,USA,1:47.7 (1),Gold,800 metres,M,1956,,,,
2,Derek Johnson,GBR,1:47.8 (2),Silver,800 metres,M,1956,,,,
3,Audun Boysen,NOR,1:48.1 (3),Bronze,800 metres,M,1956,,,,
1,Ronnie Delany,IRL,3:41.2 (1),Gold,"1,500 metres",M,1956,,,,
2,Klaus Richtzenhain,GER,3:42.0 (2),Silver,"1,500 metres",M,1956,,,,
3,John Landy,AUS,3:42.0 (3),Bronze,"1,500 metres",M,1956,,,,
1,Vladimir Kuts,URS,13:39.6 (1),Gold,"5,000 metres",M,1956,,,,
2,Gordon Pirie,GBR,13:50.6 (2),Silver,"5,000 metres",M,1956,,,,
3,Derek Ibbotson,GBR,13:54.4 (3),Bronze,"5,000 metres",M,1956,,,,
1,Vladimir Kuts,URS,,Gold,"10,000 metres",M,1956,,,,28:45.6
2,JÃ³zsef KovÃ¡cs,HUN,,Silver,"10,000 metres",M,1956,,,,28:52.4
3,Al Lawrence,AUS,,Bronze,"10,000 metres",M,1956,,,,28:53.6
1,Alain Mimoun,FRA,,Gold,Marathon,M,1956,2-25:00,,,
2,Franjo MihaliÄ,YUG,,Silver,Marathon,M,1956,2-26:32,,,
3,Veikko Karvonen,FIN,,Bronze,Marathon,M,1956,2-27:47,,,
1,Lee Calhoun,USA,13.5 (1),Gold,110 metres Hurdles,M,1956,,,,
2,Jack Davis,USA,13.5 (2),Silver,110 metres Hurdles,M,1956,,,,
3,Joel Shankle,USA,14.1 (3),Bronze,110 metres Hurdles,M,1956,,,,
1,Glenn Davis,USA,50.1 (1),Gold,400 metres Hurdles,M,1956,,,,
2,Eddie Southern,USA,50.8 (2),Silver,400 metres Hurdles,M,1956,,,,
3,Josh Culbreath,USA,51.6 (3),Bronze,400 metres Hurdles,M,1956,,,,
1,Chris Brasher,GBR,8:41.2 (1),Gold,"3,000 metres Steeplechase",M,1956,,,,
2,SÃ¡ndor RozsnyÃ³i,HUN,8:43.6 (2),Silver,"3,000 metres Steeplechase",M,1956,,,,
3,Ernst Larsen,NOR,8:44.0 (3),Bronze,"3,000 metres Steeplechase",M,1956,,,,
1,,URS,,Gold,20 kilometres Walk,M,1956,1-31:27.4,,,
2,,URS,,Silver,20 kilometres Walk,M,1956,1-32:03.0,,,
3,,URS,,Bronze,20 kilometres Walk,M,1956,1-32:12.0,,,
1,,NZL,,Gold,50 kilometres Walk,M,1956,4-30:42.8,,,
2,,URS,,Silver,50 kilometres Walk,M,1956,4-32:57.0,,,
3,,SWE,,Bronze,50 kilometres Walk,M,1956,4-35:02.0,,,
1,Charlie Dumas,USA,,Gold,High Jump,M,1956,,,,
2,Charles Porter,AUS,,Silver,High Jump,M,1956,,,,
3,Igor Kashkarov,URS,,Bronze,High Jump,M,1956,,,,
1,Bob Richards,USA,,Gold,Pole Vault,M,1956,,,,
2,Bob Gutowski,USA,,Silver,Pole Vault,M,1956,,,,
3,Georgios Roubanis,GRE,,Bronze,Pole Vault,M,1956,,,,
1,Greg Bell,USA,7.83 (1),Gold,Long Jump,M,1956,,,,
2,John Bennett,USA,7.68 (2),Silver,Long Jump,M,1956,,,,
3,Jorma Valkama,FIN,7.48 (3),Bronze,Long Jump,M,1956,,,,
1,Adhemar da Silva,BRA,16.35 (1),Gold,Triple Jump,M,1956,,,,
2,VilhjÃ¡lmur Einarsson,ISL,16.26w (2),Silver,Triple Jump,M,1956,,,,
3,Vitold Kreyer,URS,16.02 (3),Bronze,Triple Jump,M,1956,,,,
1,Parry O'Brien,USA,18.57 (1),Gold,Shot Put,M,1956,,,,
2,Bill Nieder,USA,18.18 (2),Silver,Shot Put,M,1956,,,,
3,JiÅÃ­ Skobla,TCH,17.65 (3),Bronze,Shot Put,M,1956,,,,
1,Al Oerter,USA,56.36 (1),Gold,Discus Throw,M,1956,,,,
2,Fortune Gordien,USA,54.81 (2),Silver,Discus Throw,M,1956,,,,
3,Des Koch,USA,54.40 (3),Bronze,Discus Throw,M,1956,,,,
1,Hal Connolly,USA,63.19 (1),Gold,Hammer Throw,M,1956,,,,
2,Mikhail Krivonosov,URS,63.03 (2),Silver,Hammer Throw,M,1956,,,,
3,Anatoly Samotsvetov,URS,62.56 (3),Bronze,Hammer Throw,M,1956,,,,
1,Egil Danielsen,NOR,85.71 (1),Gold,Javelin Throw,M,1956,,,,
2,Janusz SidÅo,POL,79.98 (2),Silver,Javelin Throw,M,1956,,,,
3,Viktor Tsybulenko,URS,79.50 (3),Bronze,Javelin Throw,M,1956,,,,
1,Betty Cuthbert,AUS,11.5 (1),Gold,100 metres,F,1956,,,,
2,Christa Stubnick,GER,11.7 (2),Silver,100 metres,F,1956,,,,
3,Marlene Mathews,AUS,11.7 (3),Bronze,100 metres,F,1956,,,,
1,Betty Cuthbert,AUS,23.4 (1),Gold,200 metres,F,1956,,,,
2,Christa Stubnick,GER,23.7 (2),Silver,200 metres,F,1956,,,,
3,Marlene Mathews,AUS,23.8 (3),Bronze,200 metres,F,1956,,,,
1,Shirley Strickland de la Hunty,AUS,10.7 (1),Gold,80 metres Hurdles,F,1956,,,,
2,Gisela KÃ¶hler,GER,10.9 (2),Silver,80 metres Hurdles,F,1956,,,,
3,Norma Thrower,AUS,11.0 (3),Bronze,80 metres Hurdles,F,1956,,,,
1,Millie McDaniel,USA,,Gold,High Jump,F,1956,,,,
=2,Thelma Hopkins,GBR,,Silver,High Jump,F,1956,,,,
=2,Mariya Pisareva,URS,,Silver,High Jump,F,1956,,,,
1,ElÅ¼bieta KrzesiÅska,POL,6.35 (1),Gold,Long Jump,F,1956,,,,
2,Willye White,USA,6.09 (2),Silver,Long Jump,F,1956,,,,
3,Nadezhda Dvalishvili,URS,6.07 (3),Bronze,Long Jump,F,1956,,,,
1,Tamara Tyshkevich,URS,16.59 (1),Gold,Shot Put,F,1956,,,,
2,Galina Zybina,URS,16.53 (2),Silver,Shot Put,F,1956,,,,
3,Marianne Werner,GER,15.61 (3),Bronze,Shot Put,F,1956,,,,
1,Olga FikotovÃ¡,TCH,53.69 (1),Gold,Discus Throw,F,1956,,,,
2,Irina Beglyakova,URS,52.54 (2),Silver,Discus Throw,F,1956,,,,
3,Nina Romashkova-Ponomaryova,URS,52.02 (3),Bronze,Discus Throw,F,1956,,,,
1,Inese Jaunzeme,URS,53.86 (1),Gold,Javelin Throw,F,1956,,,,
2,Marlene Ahrens,CHI,50.38 (2),Silver,Javelin Throw,F,1956,,,,
3,Nadezhda Konyayeva,URS,50.28 (3),Bronze,Javelin Throw,F,1956,,,,
1,Armin Hary,GER,10.2 (1),Gold,100 metres,M,1960,,,,
2,Dave Sime,USA,10.2 (2),Silver,100 metres,M,1960,,,,
3,Peter Radford,GBR,10.3 (3),Bronze,100 metres,M,1960,,,,
1,Livio Berruti,ITA,20.5 (1),Gold,200 metres,M,1960,,,,
2,Les Carney,USA,20.6 (2),Silver,200 metres,M,1960,,,,
3,Abdou SÃ¨ye,FRA,20.7 (3),Bronze,200 metres,M,1960,,,,
1,Otis Davis,USA,44.9 (1),Gold,400 metres,M,1960,,,,
2,Carl Kaufmann,GER,44.9 (2),Silver,400 metres,M,1960,,,,
3,Malcolm Spence,RSA,45.5 (3),Bronze,400 metres,M,1960,,,,
1,Peter Snell,NZL,1:46.3 (1),Gold,800 metres,M,1960,,,,
2,Roger Moens,BEL,1:46.5 (2),Silver,800 metres,M,1960,,,,
3,George Kerr,WIF,1:47.1 (3),Bronze,800 metres,M,1960,,,,
1,Herb Elliott,AUS,3:35.6 (1),Gold,"1,500 metres",M,1960,,,,
2,Michel Jazy,FRA,3:38.4 (2),Silver,"1,500 metres",M,1960,,,,
3,IstvÃ¡n RÃ³zsavÃ¶lgyi,HUN,3:39.2 (3),Bronze,"1,500 metres",M,1960,,,,
1,Murray Halberg,NZL,13:43.4 (1),Gold,"5,000 metres",M,1960,,,,
2,Hans Grodotzki,GER,13:44.6 (2),Silver,"5,000 metres",M,1960,,,,
3,Kazimierz Zimny,POL,13:44.8 (3),Bronze,"5,000 metres",M,1960,,,,
1,Pyotr Bolotnikov,URS,,Gold,"10,000 metres",M,1960,,,,28:32.2
2,Hans Grodotzki,GER,,Silver,"10,000 metres",M,1960,,,,28:37.0
3,Dave Power,AUS,,Bronze,"10,000 metres",M,1960,,,,28:38.2
1,Abebe Bikila,ETH,,Gold,Marathon,M,1960,2-15:16.2,,,
2,Rhadi Ben Abdesselam,MAR,,Silver,Marathon,M,1960,2-15:41.6,,,
3,Barry Magee,NZL,,Bronze,Marathon,M,1960,2-17:18.2,,,
1,Lee Calhoun,USA,13.8 (1),Gold,110 metres Hurdles,M,1960,,,,
2,Willie May,USA,13.8 (2),Silver,110 metres Hurdles,M,1960,,,,
3,Hayes Jones,USA,14.0 (3),Bronze,110 metres Hurdles,M,1960,,,,
1,Glenn Davis,USA,49.3 (1),Gold,400 metres Hurdles,M,1960,,,,
2,Cliff Cushman,USA,49.6 (2),Silver,400 metres Hurdles,M,1960,,,,
3,Dick Howard,USA,49.7 (3),Bronze,400 metres Hurdles,M,1960,,,,
1,ZdzisÅaw Krzyszkowiak,POL,8:34.2 (1),Gold,"3,000 metres Steeplechase",M,1960,,,,
2,Nikolay Sokolov,URS,8:36.4 (2),Silver,"3,000 metres Steeplechase",M,1960,,,,
3,Semyon Rzhishchin,URS,8:42.2 (3),Bronze,"3,000 metres Steeplechase",M,1960,,,,
1,,URS,,Gold,20 kilometres Walk,M,1960,1-34:07.2,,,
2,,AUS,,Silver,20 kilometres Walk,M,1960,1-34:16.4,,,
3,,GBR,,Bronze,20 kilometres Walk,M,1960,1-34:56.4,,,
1,,GBR,,Gold,50 kilometres Walk,M,1960,4-25:30.0,,,
2,,SWE,,Silver,50 kilometres Walk,M,1960,4-25:47.0,,,
3,,ITA,,Bronze,50 kilometres Walk,M,1960,4-27:55.4,,,
1,Robert' Shavlaq'adze,URS,,Gold,High Jump,M,1960,,,,
2,Valery Brumel,URS,,Silver,High Jump,M,1960,,,,
3,John Thomas,USA,,Bronze,High Jump,M,1960,,,,
1,Don Bragg,USA,,Gold,Pole Vault,M,1960,,,,
2,Ron Morris,USA,,Silver,Pole Vault,M,1960,,,,
3,Eeles LandstrÃ¶m,FIN,,Bronze,Pole Vault,M,1960,,,,
1,Ralph Boston,USA,8.12 (1),Gold,Long Jump,M,1960,,,,
2,Bo Roberson,USA,8.11 (2),Silver,Long Jump,M,1960,,,,
3,Igor Ter-Ovanesyan,URS,8.04 (3),Bronze,Long Jump,M,1960,,,,
1,JÃ³zef Szmidt,POL,16.81 (1),Gold,Triple Jump,M,1960,,,,
2,Vladimir Goryayev,URS,16.63 (2),Silver,Triple Jump,M,1960,,,,
3,Vitold Kreyer,URS,16.43 (3),Bronze,Triple Jump,M,1960,,,,
1,Bill Nieder,USA,19.68 (1),Gold,Shot Put,M,1960,,,,
2,Parry O'Brien,USA,19.11 (2),Silver,Shot Put,M,1960,,,,
3,Dallas Long,USA,19.01 (3),Bronze,Shot Put,M,1960,,,,
1,Al Oerter,USA,59.18 (1),Gold,Discus Throw,M,1960,,,,
2,Rink Babka,USA,58.02 (2),Silver,Discus Throw,M,1960,,,,
3,Dick Cochran,USA,57.16 (3),Bronze,Discus Throw,M,1960,,,,
1,Vasily Rudenkov,URS,67.10 (1),Gold,Hammer Throw,M,1960,,,,
2,Gyula ZsivÃ³tzky,HUN,65.79 (2),Silver,Hammer Throw,M,1960,,,,
3,Tadeusz Rut,POL,65.64 (3),Bronze,Hammer Throw,M,1960,,,,
1,Viktor Tsybulenko,URS,84.64 (1),Gold,Javelin Throw,M,1960,,,,
2,Walter KrÃ¼ger,GER,79.36 (2),Silver,Javelin Throw,M,1960,,,,
3,Gergely KulcsÃ¡r,HUN,78.57 (3),Bronze,Javelin Throw,M,1960,,,,
1,Wilma Rudolph,USA,11.0w (1),Gold,100 metres,F,1960,,,,
2,Dorothy Hyman,GBR,11.3w (2),Silver,100 metres,F,1960,,,,
3,Giuseppina Leone,ITA,11.3w (3),Bronze,100 metres,F,1960,,,,
1,Wilma Rudolph,USA,24.0 (1),Gold,200 metres,F,1960,,,,
2,Jutta Heine,GER,24.4 (2),Silver,200 metres,F,1960,,,,
3,Dorothy Hyman,GBR,24.7 (3),Bronze,200 metres,F,1960,,,,
1,Lyudmila Lysenko,URS,2:04.3 (1),Gold,800 metres,F,1960,,,,
2,Brenda Jones,AUS,2:04.4 (2),Silver,800 metres,F,1960,,,,
3,Ulla Donath,GER,2:05.6 (3),Bronze,800 metres,F,1960,,,,
1,Irina Press,URS,10.8 (1),Gold,80 metres Hurdles,F,1960,,,,
2,Carole Quinton,GBR,10.9 (2),Silver,80 metres Hurdles,F,1960,,,,
3,Gisela Birkemeyer,GER,11.0 (3),Bronze,80 metres Hurdles,F,1960,,,,
1,Iolanda BalaÈ,ROU,,Gold,High Jump,F,1960,,,,
=2,Dorothy Shirley,GBR,,Silver,High Jump,F,1960,,,,
=2,JarosÅawa JÃ³Åºwiakowska,POL,,Silver,High Jump,F,1960,,,,
1,Vera Krepkina,URS,6.37 (1),Gold,Long Jump,F,1960,,,,
2,ElÅ¼bieta KrzesiÅska,POL,6.27 (2),Silver,Long Jump,F,1960,,,,
3,Hildrun Claus,GER,6.21 (3),Bronze,Long Jump,F,1960,,,,
1,Tamara Press,URS,17.32 (1),Gold,Shot Put,F,1960,,,,
2,Johanna LÃ¼ttge,GER,16.61 (2),Silver,Shot Put,F,1960,,,,
3,Earlene Brown,USA,16.42 (3),Bronze,Shot Put,F,1960,,,,
1,Nina Romashkova-Ponomaryova,URS,55.10 (1),Gold,Discus Throw,F,1960,,,,
2,Tamara Press,URS,52.59 (2),Silver,Discus Throw,F,1960,,,,
3,Lia Manoliu,ROU,52.36 (3),Bronze,Discus Throw,F,1960,,,,
1,ElvÄ«ra OzoliÅa,URS,55.98 (1),Gold,Javelin Throw,F,1960,,,,
2,Dana ZÃ¡topkovÃ¡,TCH,53.78 (2),Silver,Javelin Throw,F,1960,,,,
3,BirutÄ KalÄdienÄ,URS,53.45 (3),Bronze,Javelin Throw,F,1960,,,,
1,Bob Hayes,USA,10.0 (1),Gold,100 metres,M,1964,,,,
2,Enrique Figuerola,CUB,10.2 (2),Silver,100 metres,M,1964,,,,
3,Harry Jerome,CAN,10.2 (3),Bronze,100 metres,M,1964,,,,
1,Henry Carr,USA,20.3 (1),Gold,200 metres,M,1964,,,,
2,Paul Drayton,USA,20.5 (2),Silver,200 metres,M,1964,,,,
3,Edwin Roberts,TTO,20.6 (3),Bronze,200 metres,M,1964,,,,
1,Mike Larrabee,USA,45.1 (1),Gold,400 metres,M,1964,,,,
2,Wendell Mottley,TTO,45.2 (2),Silver,400 metres,M,1964,,,,
3,Andrzej BadeÅski,POL,45.6 (3),Bronze,400 metres,M,1964,,,,
1,Peter Snell,NZL,1:45.1 (1),Gold,800 metres,M,1964,,,,
2,Bill Crothers,CAN,1:45.6 (2),Silver,800 metres,M,1964,,,,
3,Wilson Kiprugut,KEN,1:45.9 (3),Bronze,800 metres,M,1964,,,,
1,Peter Snell,NZL,3:38.1 (1),Gold,"1,500 metres",M,1964,,,,
2,Josef OdloÅ¾il,TCH,3:39.6 (2),Silver,"1,500 metres",M,1964,,,,
3,John Davies,NZL,3:39.6 (3),Bronze,"1,500 metres",M,1964,,,,
1,Bob Schul,USA,13:48.8 (1),Gold,"5,000 metres",M,1964,,,,
2,Harald Norpoth,GER,13:49.6 (2),Silver,"5,000 metres",M,1964,,,,
3,Bill Dellinger,USA,13:49.8 (3),Bronze,"5,000 metres",M,1964,,,,
1,Billy Mills,USA,,Gold,"10,000 metres",M,1964,,,,28:24.4
2,Mohamad Gammoudi,TUN,,Silver,"10,000 metres",M,1964,,,,28:24.8
3,Ron Clarke,AUS,,Bronze,"10,000 metres",M,1964,,,,28:25.8
1,Abebe Bikila,ETH,,Gold,Marathon,M,1964,2-12:11.2,,,
2,Basil Heatley,GBR,,Silver,Marathon,M,1964,2-16:19.2,,,
3,Kokichi Tsuburaya,JPN,,Bronze,Marathon,M,1964,2-16:22.8,,,
1,Hayes Jones,USA,13.6 (1),Gold,110 metres Hurdles,M,1964,,,,
2,Blaine Lindgren,USA,13.7 (2),Silver,110 metres Hurdles,M,1964,,,,
3,Anatoly Mikhaylov,URS,13.7 (3),Bronze,110 metres Hurdles,M,1964,,,,
1,Rex Cawley,USA,49.6 (1),Gold,400 metres Hurdles,M,1964,,,,
2,John Cooper,GBR,50.1 (2),Silver,400 metres Hurdles,M,1964,,,,
3,Salvatore Morale,ITA,50.1 (3),Bronze,400 metres Hurdles,M,1964,,,,
1,Gaston Roelants,BEL,8:30.8 (1),Gold,"3,000 metres Steeplechase",M,1964,,,,
2,Maurice Herriott,GBR,8:32.4 (2),Silver,"3,000 metres Steeplechase",M,1964,,,,
3,Ivan Belyayev,URS,8:33.8 (3),Bronze,"3,000 metres Steeplechase",M,1964,,,,
1,,GBR,,Gold,20 kilometres Walk,M,1964,1-29:34.0,,,
2,,GER,,Silver,20 kilometres Walk,M,1964,1-31:13.2,,,
3,,URS,,Bronze,20 kilometres Walk,M,1964,1-31:59.4,,,
1,,ITA,,Gold,50 kilometres Walk,M,1964,4-11:12.4,,,
2,,GBR,,Silver,50 kilometres Walk,M,1964,4-11:31.2,,,
3,,SWE,,Bronze,50 kilometres Walk,M,1964,4-14:17.4,,,
1,Valery Brumel,URS,,Gold,High Jump,M,1964,,,,
2,John Thomas,USA,,Silver,High Jump,M,1964,,,,
3,John Rambo,USA,,Bronze,High Jump,M,1964,,,,
1,Fred Hansen,USA,,Gold,Pole Vault,M,1964,,,,
2,Wolfgang Reinhardt,GER,,Silver,Pole Vault,M,1964,,,,
3,Klaus Lehnertz,GER,,Bronze,Pole Vault,M,1964,,,,
1,Lynn Davies,GBR,8.07 (1),Gold,Long Jump,M,1964,,,,
2,Ralph Boston,USA,8.03 (2),Silver,Long Jump,M,1964,,,,
3,Igor Ter-Ovanesyan,URS,7.99 (3),Bronze,Long Jump,M,1964,,,,
1,JÃ³zef Szmidt,POL,16.85 (1),Gold,Triple Jump,M,1964,,,,
2,Oleg Fedoseyev,URS,16.58 (2),Silver,Triple Jump,M,1964,,,,
3,Viktor Kravchenko,URS,16.57 (3),Bronze,Triple Jump,M,1964,,,,
1,Dallas Long,USA,20.33 (1),Gold,Shot Put,M,1964,,,,
2,Randy Matson,USA,20.20 (2),Silver,Shot Put,M,1964,,,,
3,Vilmos VarjÃº,HUN,19.39 (3),Bronze,Shot Put,M,1964,,,,
1,Al Oerter,USA,61.00 (1),Gold,Discus Throw,M,1964,,,,
2,LudvÃ­k DanÄk,TCH,60.52 (2),Silver,Discus Throw,M,1964,,,,
3,Dave Weill,USA,59.49 (3),Bronze,Discus Throw,M,1964,,,,
1,Romuald Klim,URS,69.74 (1),Gold,Hammer Throw,M,1964,,,,
2,Gyula ZsivÃ³tzky,HUN,69.09 (2),Silver,Hammer Throw,M,1964,,,,
3,Uwe Beyer,GER,68.09 (3),Bronze,Hammer Throw,M,1964,,,,
1,Pauli Nevala,FIN,82.66 (1),Gold,Javelin Throw,M,1964,,,,
2,Gergely KulcsÃ¡r,HUN,82.32 (2),Silver,Javelin Throw,M,1964,,,,
3,JÄnis LÅ«sis,URS,80.57 (3),Bronze,Javelin Throw,M,1964,,,,
1,Wyomia Tyus,USA,11.4 (1),Gold,100 metres,F,1964,,,,
2,Edith McGuire,USA,11.6 (2),Silver,100 metres,F,1964,,,,
3,Ewa KÅobukowska,POL,11.6 (3),Bronze,100 metres,F,1964,,,,
1,Edith McGuire,USA,23.0 (1),Gold,200 metres,F,1964,,,,
