Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
2,Ossian SkiÃ¶ld,SWE,51.29 (2),Silver,Hammer Throw,M,1928,,,,
3,Ed Black,USA,49.03 (3),Bronze,Hammer Throw,M,1928,,,,
1,Erik Lundqvist,SWE,66.60 (1),Gold,Javelin Throw,M,1928,,,,
2,BÃ©la Szepes,HUN,65.26 (2),Silver,Javelin Throw,M,1928,,,,
3,Olav Sunde,NOR,63.97 (3),Bronze,Javelin Throw,M,1928,,,,
1,Betty Robinson,USA,12.2 (1),Gold,100 metres,F,1928,,,,
2,Bobby Rosenfeld,CAN,12.3 (2),Silver,100 metres,F,1928,,,,
3,Ethel Smith,CAN,12.3 (3),Bronze,100 metres,F,1928,,,,
1,Lina Radke-Batschauer,GER,2:16.8 (1),Gold,800 metres,F,1928,,,,
2,Kinue Hitomi,JPN,2:17.6 (2),Silver,800 metres,F,1928,,,,
3,Inga Gentzel,SWE,2:17.8 (3),Bronze,800 metres,F,1928,,,,
1,Ethel Catherwood,CAN,,Gold,High Jump,F,1928,,,,
2,Lien Gisolf,NED,,Silver,High Jump,F,1928,,,,
3,Mildred Wiley,USA,,Bronze,High Jump,F,1928,,,,
1,Halina Konopacka,POL,39.62 (1),Gold,Discus Throw,F,1928,,,,
2,Lillian Copeland,USA,37.08 (2),Silver,Discus Throw,F,1928,,,,
3,Ruth Svedberg,SWE,35.92 (3),Bronze,Discus Throw,F,1928,,,,
1,Eddie Tolan,USA,10.3 (1),Gold,100 metres,M,1932,,,,
2,Ralph Metcalfe,USA,10.3 (2),Silver,100 metres,M,1932,,,,
3,Arthur Jonath,GER,10.4 (3),Bronze,100 metres,M,1932,,,,
1,Eddie Tolan,USA,21.2 (1),Gold,200 metres,M,1932,,,,
2,George Simpson,USA,21.4 (2),Silver,200 metres,M,1932,,,,
3,Ralph Metcalfe,USA,21.5 (3),Bronze,200 metres,M,1932,,,,
1,Bill Carr,USA,46.2 (1),Gold,400 metres,M,1932,,,,
2,Ben Eastman,USA,46.4 (2),Silver,400 metres,M,1932,,,,
3,Alex Wilson,CAN,47.4 (3),Bronze,400 metres,M,1932,,,,
1,Tommy Hampson,GBR,1:49.7 (1),Gold,800 metres,M,1932,,,,
2,Alex Wilson,CAN,1:49.9 (2),Silver,800 metres,M,1932,,,,
3,Phil Edwards,CAN,1:51.5 (3),Bronze,800 metres,M,1932,,,,
1,Luigi Beccali,ITA,3:51.2 (1),Gold,"1,500 metres",M,1932,,,,
2,Jerry Cornes,GBR,3:52.6 (2),Silver,"1,500 metres",M,1932,,,,
3,Phil Edwards,CAN,3:52.8 (3),Bronze,"1,500 metres",M,1932,,,,
1,Lauri Lehtinen,FIN,14:30.0 (1),Gold,"5,000 metres",M,1932,,,,
2,Ralph Hill,USA,14:30.0 (2),Silver,"5,000 metres",M,1932,,,,
3,Lasse Virtanen,FIN,14:44.0 (3),Bronze,"5,000 metres",M,1932,,,,
1,Janusz KusociÅski,POL,,Gold,"10,000 metres",M,1932,30:11.4,,,
2,Volmari Iso-Hollo,FIN,,Silver,"10,000 metres",M,1932,30:12.6,,,
3,Lasse Virtanen,FIN,,Bronze,"10,000 metres",M,1932,30:35.0,,,
1,Juan Carlos Zabala,ARG,,Gold,Marathon,M,1932,2-31:36,,,
2,Sam Ferris,GBR,,Silver,Marathon,M,1932,2-31:55,,,
3,Armas Toivonen,FIN,,Bronze,Marathon,M,1932,2-32:12,,,
1,George Saling,USA,14.6 (1),Gold,110 metres Hurdles,M,1932,,,,
2,Percy Beard,USA,14.7 (2),Silver,110 metres Hurdles,M,1932,,,,
3,Don Finlay,GBR,14.8 (3),Bronze,110 metres Hurdles,M,1932,,,,
1,Bob Tisdall,IRL,51.8 (1),Gold,400 metres Hurdles,M,1932,,,,
2,Glenn Hardin,USA,51.9 (2),Silver,400 metres Hurdles,M,1932,,,,
3,Morgan Taylor,USA,52.0 (3),Bronze,400 metres Hurdles,M,1932,,,,
1,Volmari Iso-Hollo,FIN,10:33.4 (1),Gold,"3,000 metres Steeplechase",M,1932,,,,
2,Tom Evenson,GBR,10:46.0 (2),Silver,"3,000 metres Steeplechase",M,1932,,,,
